"gene","PID_ATF2_PATHWAY"
"CCNE2",0
"CCNE1",0
"INSL3",0
"RAB11A",0
"CLDN9",0
"FIG4",0
"RAB11B",0
"TBC1D8B",0
"CLDN5",0
"CLDN7",0
"TP63",0
"TRDMT1",0
"SMYD2",0
"IRF3",0
"IRF2",0
"IRF1",0
"IRF7",0
"IRF6",0
"IRF5",0
"IRF4",0
"IRF9",0
"IRF8",0
"APC2",0
"TECR",0
"MRPL21",0
"PANX2",0
"FECH",0
"ZBTB17",0
"ZBTB16",0
"ADAP1",0
"ACVR2A",0
"KLHL13",0
"MTOR",0
"UNG",0
"SNRNP70",0
"OMG",0
"ITK",0
"NRF1",0
"NAGPA",0
"LCAT",0
"HIP1",0
"ARAP3",0
"SETMAR",0
"ARAP1",0
"BID",0
"KLKB1",0
"CYBB",0
"PPM1D",0
"SLK",0
"HMHA1",0
"CTNS",0
"SLA",0
"PHYH",0
"NOTCH4",0
"NOTCH1",0
"NOTCH2",0
"NOTCH3",0
"ZNF658",0
"EGR3",0
"ZNF655",0
"HSF1",0
"HSF2",0
"PRPF4B",0
"RAPGEF1",0
"RAPGEF2",0
"RAPGEF3",0
"ZNF382",0
"ZNF354C",0
"ZNF354B",0
"PARK7",0
"RORC",0
"RORA",0
"PARK2",0
"ZNF471",0
"ZNF473",0
"DMTF1",0
"GUSB",0
"MDM2",0
"MDM4",0
"SNRPD3",0
"SNRPD2",0
"SNRPD1",0
"WWTR1",0
"KPNA5",0
"KPNA3",0
"KPNA2",0
"EDAR",0
"FRS3",0
"FRS2",0
"TNFRSF17",0
"TNFRSF14",0
"CRK",0
"SLC25A15",0
"TNFRSF18",0
"TNFRSF19",0
"PC",0
"CASP9",0
"B4GALT1",0
"SLC25A10",0
"B4GALT5",0
"B4GALT4",0
"B4GALT7",0
"B4GALT6",0
"SGOL1",0
"TRRAP",0
"CR2",0
"CR1",0
"TNFRSF1B",0
"LGMN",0
"TNFRSF1A",0
"ZNF583",0
"SULT2B1",0
"GPD1L",0
"TMLHE",0
"POLR2J2",0
"POLR2J3",0
"DOHH",0
"GCFC1",0
"EGLN1",0
"ARNTL2",0
"EHMT1",0
